date,ALL.Download,ALL.Upload,zona 1.Download,zona 1.Upload,zona 10.Download,zona 10.Upload,zona 2.Download,zona 2.Upload,zona 3.Download,zona 3.Upload,zona 4.Download,zona 4.Upload,zona 5.Download,zona 5.Upload,zona 6.Download,zona 6.Upload,zona 7.Download,zona 7.Upload,zona 8.Download,zona 8.Upload,zona 9.Download,zona 9.Upload
2019/07/09,523932.37316799164,65683.1996717453,49429.07945728302,11578.387370109558,75028.78394317627,8355.04653930664,32691.69212245941,5271.23853969574,66100.18224906921,9139.848605155945,47322.66934108734,4611.805444717407,34637.84048175812,2149.7917222976685,48173.12941074371,5720.412884712219,61494.54942512512,7379.738257408142,54257.65886878967,6831.97657585144,54796.787868499756,4644.95373249054
2019/07/08,486151.9187717438,58162.24854373932,47646.21557426453,9961.063014030457,70724.29778385162,7094.448687553406,32071.042204856873,5196.94459438324,67713.33815383911,8938.148790359497,45803.18306732178,4612.365126609802,32499.740003585815,2140.0678701400757,43929.527893066406,6683.947103500366,48010.2701625824,4447.109670639038,51080.91426181793,4755.819722175598,46673.38966655731,4332.333964347839
2019/07/07,466060.2573976517,61346.5936088562,39752.38984870911,10257.003555297852,77677.33107089996,7607.01896572113,44620.92725753784,4355.682126045227,61513.21511363983,8206.522933959961,44568.30607032776,6012.327944755554,26621.5461101532,2703.698760032654,39931.30622959137,4331.50656414032,44152.34921550751,4147.715908050537,46510.336528778076,9299.324595451355,40712.54995250702,4425.792255401611
2019/07/06,494356.658370018,59734.786620140076,49647.064202308655,11413.390041351318,79841.89957046509,7566.895095825195,45148.3992433548,5352.481984138489,69835.63449859619,10978.257546424866,50231.32899475098,4146.689740180969,28737.12425327301,2619.3288383483887,41165.22380447388,5473.674512863159,41162.41993141174,3913.499632835388,48881.93296432495,4247.870043754578,39705.630907058716,4022.6991844177246
2019/07/05,535850.9478464127,64590.94963359833,43020.202962875366,12094.142162322998,84295.7270078659,9287.167704582214,41999.08207607269,5140.588797569275,72500.44484043121,8345.396403312683,51060.70658016205,4389.8076248168945,35259.149373054504,3132.507167816162,38211.79874610901,6474.29333114624,52945.96953582764,5198.709726333618,60640.52341270447,5655.70508480072,55917.343311309814,4872.631630897522
2019/07/04,510713.0443353653,65917.21360588074,52440.861285209656,12445.17928314209,81261.25227069855,8809.862224578857,37670.13088321686,3921.811815261841,67914.10501003265,10794.818307876587,44412.15721988678,4830.238036155701,34069.8930273056,3341.2068614959717,39648.0504283905,7360.817482948303,45405.8168296814,4312.821650505066,54389.262919425964,5604.620503425598,53501.514461517334,4495.837440490723
2019/07/03,450432.72154426575,54237.39812088013,44434.92115974426,11037.211559295654,67287.29844284058,8147.029680252075,32328.101725578308,3823.793643951416,57250.76949882507,8212.505270004272,45585.05340862274,2977.229072570801,37063.20832824707,2725.9609928131104,33865.216512680054,4161.884930610657,46291.07175445557,3651.3037328720093,50583.788972854614,6429.936309814453,35743.29174041748,3070.5429286956787
2019/07/02,545825.1915531158,69237.96348762512,51349.75431346893,11322.682178497314,73212.51065540314,7294.896293640137,45660.798117637634,4391.477967262268,77319.540143013,10318.800448417664,51386.250719070435,6025.311589241028,34511.856751441956,4308.609994888306,44158.51323413849,6125.1013469696045,61326.95184326172,7004.6206731796265,63915.57808589935,6799.154567718506,42983.43768978119,5647.308427810669
2019/07/01,512662.2306699753,57781.66564941406,47819.38955783844,9309.53318309784,85516.4979763031,10016.254413604736,42648.8465423584,4054.733711242676,75604.83359527588,7415.698029518127,37055.69778060913,3353.2152795791626,33462.4447517395,2886.9868669509888,41958.8903427124,6587.478909492493,51379.90265464783,3897.137231826782,59396.49897193909,5528.032195091248,37819.228496551514,4732.59582901001
2019/06/30,485400.59529685974,56765.49700641632,45507.84011363983,11259.24165725708,79759.73897838593,8615.93207359314,35265.75639629364,2145.267032623291,64697.53658866882,9147.398216247559,52794.310832977295,4361.979460716248,22955.581645011902,2608.079111099243,56674.209104537964,7058.38000869751,35404.761063575745,3511.157910346985,43440.50210952759,4102.548727989197,48900.35846424103,3955.5128078460693
2019/06/29,533932.9478845596,74478.72155380249,68200.31273841858,12749.555976867676,81177.97420787811,10081.669419288635,43707.64320755005,5687.916759490967,78459.46170425415,18920.65075111389,52191.05415058136,4128.720931053162,26821.84181690216,2150.69614982605,44862.32677936554,7149.711862564087,52982.60753154755,3225.686116218567,40150.71208381653,5266.661884307861,45379.013664245605,5117.451703071594
2019/06/28,522593.6017417908,60270.33123588562,45206.004262924194,10566.65777683258,93705.41101264954,11405.700640678406,40310.48784637451,4926.975173950195,71057.74736309052,8726.798590660095,49341.67119503021,3498.209282875061,17688.552934646606,1257.7487869262695,50083.072377204895,7471.640779495239,54638.10231304169,4562.049839019775,50239.19552612305,4106.0830726623535,50323.35691070557,3748.4672927856445
2019/06/27,505868.0941057205,57734.6789598465,48608.791546821594,8380.612260818481,86055.2474975586,8531.727994918823,44986.77679634094,6727.499798774719,79595.60202980042,8590.412317276001,41243.957176208496,3277.972068786621,17408.405011177063,1776.8804912567139,50265.27334403992,7600.752564430237,55201.543058395386,4562.459000587463,37138.5561914444,4939.876486778259,45363.941453933716,3346.4859762191772
2019/06/26,523605.870221138,60681.7184677124,45587.26165485382,8409.981204986572,99022.32747459412,9888.232398033142,43252.37218952179,4360.1793966293335,76597.25481033325,9354.463851928711,41050.86818885803,3906.57901096344,31100.848119735718,2938.8166456222534,48125.16675376892,5261.206322669983,46712.43566608429,5254.520523071289,43692.67692947388,7604.583983421326,48464.658433914185,3703.1551303863525
2019/06/25,525627.6915903091,64437.97679710388,48176.89585494995,11517.164988517761,90729.72031211853,11064.009486198425,37326.57017612457,9033.957858085632,77631.0886926651,7881.933473587036,59857.81740951538,3833.3971252441406,17972.729962348938,2447.57830619812,41865.676312446594,5518.002913475037,60105.33917140961,3925.759945869446,48450.75475978851,4993.5915813446045,43511.098938941956,4222.581118583679
2019/06/24,511715.18242263794,59563.411809921265,50468.88644504547,11926.711179733276,82017.35869312286,7443.755928993225,48239.482213020325,4840.184458732605,71530.42369747162,7280.957186698914,52273.185567855835,4186.477689743042,16430.976897239685,1727.2529020309448,49308.72218513489,6790.651006698608,47496.02766227722,4742.669606208801,43668.12521934509,4375.33650302887,50281.99384212494,6249.4153480529785
